Date,Printer Server,Printer Name,Use Type,Total Printed Pages
10/1/2018 10:19,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 10:20,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 10:24,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 10:25,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 10:25,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,11
10/1/2018 10:26,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,7
10/1/2018 10:34,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,2
10/1/2018 10:35,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,1
10/1/2018 10:35,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,2
10/1/2018 10:38,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,2
10/1/2018 10:38,bigenergy.dsc.umich.edu,m-aab-2109-bwmulti-1a,PRINT,10
